Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411)
,(Percent of farmers),,,,,,,,,,,
Ammonium sulfate,2,0,5,16,17,16,7,8,0,5,6,0
45-0-0,31,50,0,0,0,0,0,0,0,0,0,0
16-20-0,14,20,5,2,3,0,3,4,0,3,2,13
Camarines Sur,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 89),(n = 70),(n = 19),(n = 90),(n = 82),(n = 8),(n = 106),(n = 79),(n = 27),(n = 114),(n = 75),(n = 39)
,(Percent of farmers),,,,,,,,,,,
Urea,76,76,74,72,73,63,82,78,93,94,91,97
14-14-14,71,74,53,54,57,25,73,73,70,73,77,62
16-20-0,4,6,0,3,2,13,21,27,4,13,16,8
45-0-0,18,16,26,7,6,13,0,0,0,0,0,0
17-0-0,2,3,0,2,2,0,8,10,4,1,1,0
17-0-17,1,1,0,1,1,0,6,8,0,3,3,3
Crop giant,2,3,0,0,0,0,6,8,0,1,1,0
18-46-0,1,0,5,1,1,0,1,0,4,1,0,3
Dura bloom,6,6,5,0,0,0,0,0,0,0,0,0
Foliar,0,0,0,0,0,0,3,3,4,3,4,0
45-0-0,0,0,0,0,0,0,5,6,0,0,0,0
Ammonium sulfate,1,1,0,1,1,0,0,0,0,1,0,3
Gro ec,1,1,0,2,2,0,0,0,0,0,0,0
Pro bio,0,0,0,0,0,0,0,0,0,2,0,5
Iloilo,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 88),(n = 41),(n = 47),(n = 88),(n = 70),(n = 18),(n = 116),(n = 62),(n = 54),(n = 58),(n = 29),(n = 29)
,(Percent of farmers),,,,,,,,,,,
Urea,80,83,77,31,23,61,85,84,87,90,93,86
16-20-0,42,27,55,19,9,61,45,35,56,52,41,62
14-14-14,49,59,40,26,20,50,44,60,26,41,45,38
Ammonium sulfate,35,37,34,13,7,33,28,31,24,34,38,31
Crop giant,17,22,13,9,11,0,0,0,0,5,3,7
45-0-0,0,0,0,0,0,0,7,8,6,2,0,3
0-0-60,1,0,2,1,0,6,3,5,0,0,0,0
45-0-0,5,7,2,1,1,0,0,0,0,0,0,0
16-16-16,6,0,11,0,0,0,0,0,0,0,0,0
Bohol,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 75),(n = 22),(n = 53),(n = 76),(n = 61),(n = 15),(n = 81),(n = 33),(n = 48),(n = 86),(n = 32),(n = 54)
,(Percent of farmers),,,,,,,,,,,
14-14-14,87,95,83,41,36,60,84,88,81,91,94,89
Urea,39,59,30,24,26,13,47,55,42,35,34,35
Ammonium sulfate,8,27,0,11,13,0,1,0,2,2,6,0
45-0-0,0,0,0,0,0,0,0,0,0,16,28,9
16-20-0,1,0,2,0,0,0,4,6,2,1,3,0
45-0-0,1,5,0,3,3,0,0,0,0,0,0,0
17-0-0,3,9,0,0,0,0,0,0,0,0,0,0
0-0-60,0,0,0,0,0,0,0,0,0,2,0,4
Leyte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 79),(n = 52),(n = 27),(n = 79),(n = 55),(n = 24),(n = 84),(n = 69),(n = 15),(n = 83),(n = 69),(n = 14)
,(Percent of farmers),,,,,,,,,,,
Urea,87,88,85,89,89,88,25,30,0,27,32,0
14-14-14,49,46,56,41,33,58,49,54,27,51,58,14
45-0-0,0,0,0,0,0,0,57,54,73,69,62,100
Superharvest,0,0,0,1,0,4,7,9,0,10,12,0
Ammonium sulfate,1,2,0,0,0,0,5,6,0,7,9,0
16-20-0,3,2,4,5,5,4,2,3,0,0,0,0
45-0-0,8,10,4,3,4,0,0,0,0,0,0,0
Biogold,0,0,0,0,0,0,5,6,0,0,0,0
Northern Samar,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 50),(n = 26),(n = 24),(n = 50),(n = 17),(n = 33),(n = 45),(n = 27),(n = 18),(n = 59),(n = 27),(n = 32)
,(Percent of farmers),,,,,,,,,,,
45-0-0,0,0,0,0,0,0,36,59,0,14,30,0
14-14-14,4,8,0,12,6,15,4,7,0,20,44,0
16-20-0,20,38,0,10,29,0,0,0,0,0,0,0
Urea,12,23,0,2,6,0,0,0,0,15,33,0
45-0-0,2,4,0,12,12,12,0,0,0,0,0,0
Organic,0,0,0,4,0,6,0,0,0,0,0,0
Zinc oxide,0,0,0,2,6,0,0,0,0,0,0,0
Zamboanga del Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
