Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Item,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,991)",,"(n = 1,386)",,(n = 605),,"(n = 1,459)",,"(n = 1,184)",,(n = 275),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 2,879)",,"(n = 2,034)",,(n = 845),,"(n = 2,634)",,"(n = 2,089)",,(n = 545),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Yield (kg/ha),4267,982,4529,848,3535,985,4691,1666,4806,1659,3080,792,4738,1675,4758,1715,4373,403,5630,1413,5630,1413,,,4389,1985,4269,1676,4868,2971,4936,2660,4936,2660,,
Material Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seed (kg/ha),69.21,38.28,67.55,32.92,73.84,51.55,78.97,38.88,77.82,39.83,95,21.21,52.59,35.3,53.46,35.92,36,14.42,46.89,26.44,46.89,26.44,,,43.93,27.77,42.9,28.2,48.07,26.78,24.72,7.47,24.72,7.47,,
   Fertilizer (kg/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     N,126.18,57.94,131.23,57.23,112.06,59.53,179.77,156.1,187.39,158.6,73,55.15,127.41,36.26,128.7,36.18,102.89,34.34,182.82,52.95,182.82,52.95,,,161.4,86.73,152.06,76.16,198.77,116.87,141.44,98.88,141.44,98.88,,
     P,13.48,11.12,14.37,12.28,11,6.58,19.37,20.32,18.48,20.45,31.79,18.73,12.89,5.62,12.9,5.76,12.63,0.14,20.91,8.05,20.91,8.05,,,6.14,3.73,5.99,3.67,6.73,4.09,5.48,5.39,5.48,5.39,,
     K,17.06,14.87,19.47,15.12,10.32,12.18,29.57,38.69,31.68,39.22,0,0,20.13,12.93,19.92,13.24,24.02,0.27,28.42,17.07,28.42,17.07,,,20.39,13.79,20.36,12.9,20.53,17.58,19.59,19.59,19.59,19.59,,
   Herbicide (kg or L AIb/ha),0.06,0.18,0.05,0.15,0.06,0.24,0.01,0.06,0.01,0.06,0,0,0.01,0.03,0.01,0.03,0,0,0,0,0,0,,,0.06,0.16,0.04,0.12,0.14,0.28,0.09,0.34,0.09,0.34,,
   Insecticide (kg or L AI/ha),0.06,0.13,0.07,0.14,0.03,0.06,0.11,0.48,0.12,0.5,0.01,0.01,0.12,0.28,0.12,0.29,0.12,0.17,0.05,0.15,0.05,0.15,,,0.11,0.23,0.08,0.17,0.19,0.37,0.16,0.22,0.16,0.22,,
   Fungicide (kg or L AI/ha),0,0.03,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.02,0.12,0.02,0.13,0.01,0.03,0.15,0.48,0.15,0.48,,
