Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,662)","(n = 1,208)",(n = 454),"(n = 1,250)","(n = 1,036)",(n = 214),"(n = 2,295)","(n = 1,786)",(n = 509),"(n = 1,928)","(n = 1,560)",(n = 368)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 79),(n = 64),(n = 15),(n = 79),(n = 66),(n = 13),(n = 115),(n = 91),(n = 24),(n = 113),(n = 89),(n = 24)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Butachlor,--,--,--,--,--,--,29.57,25.27,45.83,26.55,26.97,25
"2,4-D IBE",--,--,--,--,--,--,16.52,20.88,--,28.32,23.6,45.83
Bispyribac sodium,--,--,--,--,--,--,16.52,18.68,8.33,16.81,19.1,8.33
Pretilachlor,--,--,--,--,--,--,9.57,9.89,8.33,13.27,12.36,16.67
Butachlor + safener,--,--,--,--,--,--,13.04,10.99,20.83,8.85,10.11,4.17
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,4.35,5.49,--,7.96,10.11,--
Bensulfuron methyl,--,--,--,--,--,--,5.22,5.49,4.17,3.54,4.49,--
Butachlor + propanil,--,--,--,--,--,--,3.48,4.4,--,5.31,6.74,--
Metsulfuron methyl +,1.27,--,6.67,--,--,--,1.74,2.2,--,2.65,3.37,--
Pyribenzoxim,--,--,--,--,--,--,1.74,2.2,--,2.65,3.37,--
Cyhalofop butyl,--,--,--,--,--,--,--,--,--,3.54,4.49,--
Insecticides,,,,,,,,,,,,
Cypermethrin,49.37,48.44,53.33,59.49,56.06,76.92,40,45.05,20.83,37.17,38.2,33.33
Lambdacyhalothrin,13.92,7.81,40,8.86,7.58,15.38,18.26,10.99,45.83,10.62,7.87,20.83
Betacypermethrin,13.92,15.63,6.67,6.33,6.06,7.69,18.26,20.88,8.33,16.81,16.85,16.67
Phentoate + BPMC,8.86,9.38,6.67,3.8,4.55,--,18.26,17.58,20.83,16.81,12.36,33.33
