Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Farmer's seed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.88,87.5,20,0,143.75,0,63.33,15.28,-,-,63.33,15.28
Good seeds (did not pass certification),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,0,120,0,-,-
Unclassified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,0,40,0,-,-
Cagayan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Seed classification,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 114),,(n = 87),,(n = 27),,(n = 109),,(n = 77),,(n = 32),,(n = 112),,(n = 88),,(n = 24),,(n = 112),,(n = 88),,(n = 24),,(n = 112),,(n = 82),,(n = 30),,(n = 115),,(n = 100),,(n = 15),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
,Seeds (kg/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid,17.86,5.05,17.08,5.04,20.42,4.79,19.39,4.35,18.74,4.49,21.67,3.33,16.74,4.54,18.09,3.52,11.99,5.68,19.56,7.27,20.24,7.27,13.5,4.09,28.31,22.16,29.46,23.54,20.25,3.18,21.28,11.93,21.48,11.84,19.17,14.64
Registered,66.67,0,66.67,0,-,-,45,0,45,0,-,-,-,-,-,-,-,-,15,0,15,0,-,-,43.33,26.94,31.11,13.88,80,0,-,-,-,-,-,-
